                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3247,                 3.3887,                 1.7687,                0.00362,                0.11111,                0.03842,                0.01921,                 1.3243,                 3.4481,                 2.1541,               1.25e-05,               1.25e-05,               1.25e-05
                      2,                 1.3001,                 3.4354,                 1.7294,                0.00421,                      1,                0.15061,                0.03362,                 1.2913,                 3.4236,                 2.1036,             3.7129e-05,             3.7129e-05,             3.7129e-05
                      3,                 1.1266,                 3.3364,                 1.5326,                0.00463,                      1,                  0.106,                0.03926,                  1.269,                 3.4254,                 2.0363,             6.1263e-05,             6.1263e-05,             6.1263e-05
                      4,                 1.1754,                 3.2944,                 1.6608,                0.00553,                      1,                0.10675,                0.06027,                 1.2257,                  3.466,                 2.0056,             8.4901e-05,             8.4901e-05,             8.4901e-05
                      5,                 1.1181,                 3.1908,                 1.5458,                 0.0071,                      1,                0.11857,                0.07461,                 1.0506,                 3.4327,                 1.9933,             0.00010804,             0.00010804,             0.00010804
                      6,                0.97251,                 3.0842,                 1.5134,                0.00802,                      1,                0.17803,                0.10458,                 1.0091,                 3.4454,                 2.1102,             0.00013069,             0.00013069,             0.00013069
                      7,                0.87238,                 2.8737,                 1.4603,                0.00948,                      1,                0.21881,                 0.1109,                 1.0465,                 3.4277,                 2.1117,             0.00015285,             0.00015285,             0.00015285
                      8,                 1.1777,                 2.9065,                 1.5775,                0.00999,                      1,                0.26088,                 0.1242,                 1.1643,                 3.4134,                 2.1211,             0.00017451,             0.00017451,             0.00017451
                      9,                0.97421,                 2.7159,                 1.5019,                0.01061,                      1,                0.27866,                0.14047,                 1.1918,                 3.3974,                 2.0702,             0.00019567,             0.00019567,             0.00019567
                     10,                0.99554,                 2.4188,                 1.3884,                0.01018,                      1,                0.30086,                  0.156,                 1.1544,                 3.3632,                 1.9992,             0.00021634,             0.00021634,             0.00021634
                     11,                0.82704,                 2.7756,                 1.4469,                0.01007,                      1,                0.34847,                0.19876,                 1.1352,                 3.3277,                  1.962,             0.00023651,             0.00023651,             0.00023651
                     12,                0.95602,                  2.342,                 1.4762,                0.00995,                      1,                0.41211,                0.23304,                 1.0449,                  3.233,                 1.8804,             0.00025619,             0.00025619,             0.00025619
                     13,                0.97105,                 2.2706,                 1.4515,                0.01036,                      1,                0.41129,                0.23226,                 1.0131,                 3.1582,                 1.8526,             0.00027538,             0.00027538,             0.00027538
                     14,                0.89588,                 2.2182,                 1.3971,                0.01134,                      1,                 0.3257,                0.18294,                 1.0584,                 3.1513,                 1.8905,             0.00029406,             0.00029406,             0.00029406
                     15,                 1.0223,                 2.2242,                 1.4498,                0.01061,                0.88889,                0.23774,                0.12916,                 1.6587,                 3.2642,                 2.4466,             0.00031226,             0.00031226,             0.00031226
                     16,                 1.0091,                 2.2081,                 1.5063,                0.00814,                0.66667,                0.16306,                0.09754,                 2.5325,                 3.5101,                 3.3182,             0.00032996,             0.00032996,             0.00032996
