                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.82887,                 1.4268,                 1.3047,                0.50601,                0.22222,                0.41661,                0.14993,                 1.8366,                 3.7177,                 3.2866,             0.00057218,             0.00057218,             0.00057218
                     36,                0.78242,                 1.5531,                 1.2921,                0.45019,                 0.2786,                0.29341,                0.10638,                 1.8051,                 3.7628,                 3.0146,             0.00057998,             0.00057998,             0.00057998
                     37,                 0.7629,                 1.3866,                  1.251,                0.45019,                 0.2786,                0.29341,                0.10638,                 1.8051,                 3.7628,                 3.0146,             0.00058729,             0.00058729,             0.00058729
                     38,                0.74785,                 1.3866,                 1.2552,                0.59351,                0.22222,                0.26349,                0.15017,                 1.5656,                 3.7174,                 2.8416,             0.00059409,             0.00059409,             0.00059409
                     39,                0.78558,                 1.4692,                 1.2818,                0.48029,                0.55562,                0.50041,                0.25932,                 1.6885,                 3.3849,                 2.9071,             0.00060041,             0.00060041,             0.00060041
                     40,                0.91648,                 1.5497,                  1.336,                0.48029,                0.55562,                0.50041,                0.25932,                 1.6885,                 3.3849,                 2.9071,             0.00060623,             0.00060623,             0.00060623
                     41,                0.75758,                 1.3375,                 1.1857,                0.51557,                0.56602,                 0.5122,                0.28875,                 1.8011,                 3.3549,                 2.9634,             0.00061155,             0.00061155,             0.00061155
                     42,                0.84958,                 1.4533,                 1.2801,                0.79018,                0.33333,                0.42795,                0.24543,                 1.7401,                 3.0915,                  3.017,             0.00061638,             0.00061638,             0.00061638
                     43,                0.60221,                 1.2566,                 1.1623,                0.79018,                0.33333,                0.42795,                0.24543,                 1.7401,                 3.0915,                  3.017,             0.00062071,             0.00062071,             0.00062071
                     44,                  0.738,                 1.1969,                 1.1637,                0.76301,                 0.3295,                  0.483,                 0.2804,                 1.7944,                  3.149,                 2.9748,             0.00062455,             0.00062455,             0.00062455
                     45,                0.71145,                 1.1697,                 1.2313,                0.76301,                 0.3295,                  0.483,                 0.2804,                 1.7944,                  3.149,                 2.9748,              0.0006279,              0.0006279,              0.0006279
                     46,                0.65073,                 1.2198,                 1.2277,                0.61787,                0.33123,                0.45141,                0.27528,                 1.6386,                 3.2479,                 2.8369,             0.00063074,             0.00063074,             0.00063074
                     47,                 0.8621,                 1.2382,                 1.4315,                0.61787,                0.33123,                0.45141,                0.27528,                 1.6386,                 3.2479,                 2.8369,              0.0006331,              0.0006331,              0.0006331
                     48,                0.73512,                 1.3198,                  1.305,                0.63691,                0.32424,                0.38913,                0.23694,                 1.6039,                  3.215,                 2.8918,             0.00063496,             0.00063496,             0.00063496
                     49,                0.73182,                 1.2066,                 1.2226,                0.63691,                0.32424,                0.38913,                0.23694,                 1.6039,                  3.215,                 2.8918,             0.00063632,             0.00063632,             0.00063632
                     50,                0.79043,                  1.332,                  1.245,                0.31956,                0.70757,                0.46336,                0.26622,                 1.5402,                 3.0511,                 2.8272,             0.00063719,             0.00063719,             0.00063719
                     51,                0.80617,                 1.3985,                 1.3193,                0.31956,                0.70757,                0.46336,                0.26622,                 1.5402,                 3.0511,                 2.8272,             0.00063125,             0.00063125,             0.00063125
                     52,                0.71151,                 1.2108,                 1.1917,                 0.8239,                0.32571,                0.42197,                0.28001,                 1.4503,                 2.9379,                 2.5327,             0.00061887,             0.00061887,             0.00061887
                     53,                0.58855,                 1.1233,                 1.1442,                 0.8239,                0.32571,                0.42197,                0.28001,                 1.4503,                 2.9379,                 2.5327,              0.0006065,              0.0006065,              0.0006065
                     54,                0.67526,                 1.2129,                 1.2248,                0.65131,                0.42718,                0.38489,                 0.2617,                 1.2447,                 2.9815,                 2.2494,             0.00059413,             0.00059413,             0.00059413
                     55,                0.70361,                 1.4057,                 1.2989,                0.65131,                0.42718,                0.38489,                 0.2617,                 1.2447,                 2.9815,                 2.2494,             0.00058175,             0.00058175,             0.00058175
                     56,                0.57474,                 1.1223,                 1.1132,                0.70992,                0.33333,                0.28354,                0.19554,                 1.4401,                 3.1532,                 2.4949,             0.00056938,             0.00056938,             0.00056938
                     57,                0.66536,                 1.0495,                 1.1424,                0.70992,                0.33333,                0.28354,                0.19554,                 1.4401,                 3.1532,                 2.4949,               0.000557,               0.000557,               0.000557
                     58,                0.70692,                 1.2422,                 1.2467,                0.70588,                0.33333,                0.30625,                0.19623,                 1.5708,                  3.271,                 2.8773,             0.00054463,             0.00054463,             0.00054463
                     59,                0.68172,                 1.1437,                 1.1683,                0.70588,                0.33333,                0.30625,                0.19623,                 1.5708,                  3.271,                 2.8773,             0.00053225,             0.00053225,             0.00053225
                     60,                0.65144,                 1.1839,                 1.1816,                0.64718,                0.33333,                0.33615,                0.24266,                 1.5982,                 3.0621,                 3.1415,             0.00051988,             0.00051988,             0.00051988
                     61,                0.61654,                 1.1648,                 1.1395,                0.64718,                0.33333,                0.33615,                0.24266,                 1.5982,                 3.0621,                 3.1415,              0.0005075,              0.0005075,              0.0005075
                     62,                0.64981,                 1.3233,                 1.1677,                0.87091,                0.33333,                0.46324,                 0.3115,                 1.6334,                 2.7664,                 3.3117,             0.00049513,             0.00049513,             0.00049513
                     63,                0.71347,                  1.086,                 1.1992,                0.87091,                0.33333,                0.46324,                 0.3115,                 1.6334,                 2.7664,                 3.3117,             0.00048275,             0.00048275,             0.00048275
                     64,                0.57225,                  1.138,                 1.1295,                0.90518,                0.33333,                 0.4558,                0.29949,                 1.6098,                 2.9879,                 3.3056,             0.00047038,             0.00047038,             0.00047038
                     65,                0.63629,                 1.1197,                  1.165,                0.90518,                0.33333,                 0.4558,                0.29949,                 1.6098,                 2.9879,                 3.3056,               0.000458,               0.000458,               0.000458
                     66,                0.66507,                 1.0826,                 1.1714,                0.63856,                0.54293,                0.45427,                0.29391,                 1.6747,                 3.1705,                 3.3352,             0.00044563,             0.00044563,             0.00044563
                     67,                0.57383,                 1.0433,                 1.1421,                0.63856,                0.54293,                0.45427,                0.29391,                 1.6747,                 3.1705,                 3.3352,             0.00043325,             0.00043325,             0.00043325
                     68,                0.57948,                 1.1181,                 1.1491,                0.87417,                0.33333,                0.45421,                0.29129,                 1.6734,                 2.8803,                 3.1837,             0.00042087,             0.00042087,             0.00042087
                     69,                0.59116,                 1.0489,                 1.1729,                0.87417,                0.33333,                0.45421,                0.29129,                 1.6734,                 2.8803,                 3.1837,              0.0004085,              0.0004085,              0.0004085
                     70,                0.62731,                 1.1087,                 1.1367,                0.78933,                0.53805,                0.48954,                0.31465,                 1.5562,                 2.5545,                 2.9287,             0.00039613,             0.00039613,             0.00039613
                     71,                0.64392,                 1.0048,                 1.1537,                0.78933,                0.53805,                0.48954,                0.31465,                 1.5562,                 2.5545,                 2.9287,             0.00038375,             0.00038375,             0.00038375
                     72,                0.66026,                 1.0791,                 1.2004,                0.83409,                0.44444,                0.47304,                 0.3437,                 1.5875,                 2.3822,                 3.0324,             0.00037138,             0.00037138,             0.00037138
                     73,                0.63408,                 1.1903,                 1.2131,                0.83409,                0.44444,                0.47304,                 0.3437,                 1.5875,                 2.3822,                 3.0324,               0.000359,               0.000359,               0.000359
                     74,                0.55324,                 1.1058,                 1.0772,                0.87602,                0.43774,                0.47305,                0.35492,                   1.46,                 2.3609,                 2.9059,             0.00034663,             0.00034663,             0.00034663
                     75,                0.50474,                0.92768,                 1.0463,                0.87602,                0.43774,                0.47305,                0.35492,                   1.46,                 2.3609,                 2.9059,             0.00033425,             0.00033425,             0.00033425
                     76,                0.51533,                0.98019,                  1.068,                0.30524,                0.55556,                0.43642,                0.33294,                 1.4816,                 2.4779,                 2.9193,             0.00032188,             0.00032188,             0.00032188
                     77,                0.51426,                0.97161,                 1.0919,                0.30524,                0.55556,                0.43642,                0.33294,                 1.4816,                 2.4779,                 2.9193,              0.0003095,              0.0003095,              0.0003095
                     78,                0.56728,                 1.0144,                 1.0906,                0.72475,                0.54189,                0.46374,                0.34888,                 1.4377,                 2.3786,                 2.8859,             0.00029713,             0.00029713,             0.00029713
                     79,                0.56995,                 1.0057,                 1.1208,                0.72475,                0.54189,                0.46374,                0.34888,                 1.4377,                 2.3786,                 2.8859,             0.00028475,             0.00028475,             0.00028475
                     80,                0.52921,                0.97617,                  1.054,                0.79479,                0.55331,                0.47487,                 0.3405,                 1.4547,                 2.3985,                 2.8824,             0.00027237,             0.00027237,             0.00027237
                     81,                0.57284,                0.91078,                 1.1755,                0.79479,                0.55331,                0.47487,                 0.3405,                 1.4547,                 2.3985,                 2.8824,                0.00026,                0.00026,                0.00026
                     82,                0.53313,                0.97913,                 1.0879,                0.75749,                0.54414,                0.48524,                0.33002,                 1.5396,                 2.5055,                 2.8335,             0.00024762,             0.00024762,             0.00024762
                     83,                0.56643,                 1.0123,                 1.2186,                0.75749,                0.54414,                0.48524,                0.33002,                 1.5396,                 2.5055,                 2.8335,             0.00023525,             0.00023525,             0.00023525
                     84,                0.51523,                0.88509,                 1.0668,                0.75081,                0.54189,                0.48108,                0.31986,                 1.4591,                 2.5575,                 2.7102,             0.00022288,             0.00022288,             0.00022288
                     85,                0.50277,                0.85151,                 1.0507,                0.75081,                0.54189,                0.48108,                0.31986,                 1.4591,                 2.5575,                 2.7102,              0.0002105,              0.0002105,              0.0002105
                     86,                0.53203,                 1.1367,                 1.1379,                0.75352,                0.54529,                0.48229,                0.31917,                 1.4665,                 2.5314,                  2.762,             0.00019813,             0.00019813,             0.00019813
                     87,                0.55719,                0.96509,                 1.1252,                0.75352,                0.54529,                0.48229,                0.31917,                 1.4665,                 2.5314,                  2.762,             0.00018575,             0.00018575,             0.00018575
                     88,                0.45651,                0.84899,                 1.0342,                0.78278,                0.54616,                0.48108,                0.31917,                 1.5441,                 2.5598,                 2.8553,             0.00017338,             0.00017338,             0.00017338
                     89,                0.50197,                0.97917,                 1.0234,                0.78278,                0.54616,                0.48108,                0.31917,                 1.5441,                 2.5598,                 2.8553,               0.000161,               0.000161,               0.000161
                     90,                0.55027,                0.93831,                 1.0723,                0.73787,                0.50839,                0.51681,                 0.3263,                 1.4991,                 2.6034,                 2.7736,             0.00014862,             0.00014862,             0.00014862
                     91,                0.47543,                 1.6173,                 1.1722,                0.73787,                0.50839,                0.51681,                 0.3263,                 1.4991,                 2.6034,                 2.7736,             0.00013625,             0.00013625,             0.00013625
                     92,                0.39797,                 1.4074,                 1.0702,                0.34024,                0.53431,                0.52602,                0.32618,                 1.5206,                 2.7676,                 2.7868,             0.00012387,             0.00012387,             0.00012387
                     93,                0.43367,                 1.4173,                 1.0486,                0.34024,                0.53431,                0.52602,                0.32618,                 1.5206,                 2.7676,                 2.7868,              0.0001115,              0.0001115,              0.0001115
                     94,                0.44288,                 1.4081,                 1.1254,                 0.7956,                0.33333,                 0.4512,                0.32189,                 1.4348,                 2.9581,                 2.5718,             9.9125e-05,             9.9125e-05,             9.9125e-05
